Time [s],Displacement [m]
0,0.10180448
0.1,0.094869481
0.2,0.085303131
0.3,0.069812077
0.4,0.049292947
0.5,0.033626343
0.6,0.021224426
0.7,0.00439771
0.8,-0.005035224
0.9,-0.012224888
1,-0.015423238
1.1,-0.017234127
1.2,-0.01891121
1.3,-0.016597477
1.4,-0.013093542
1.5,-0.010327271
1.6,-0.004507249
1.7,-0.003609862
1.8,-0.001046324
1.9,-0.000294435
2,0.000690895
2.1,0.003699329
2.2,0.003130779
2.3,0.004005317
2.4,0.002257976
2.5,0.003523121
2.6,0.000246124
2.7,0.003029375
2.8,0.001741665
2.9,0.000508188
3,-0.001165454
3.1,-0.00069961
3.2,-0.000242456
3.3,0.000609379
3.4,-0.001655993
3.5,0.000708215
3.6,0.002257792
3.7,-0.000905207
3.8,0.000168452
3.9,-0.000850726
4,-0.001814632
4.1,0.001452149
4.2,0.000736092
4.3,-0.000427648
4.4,0.000219765
4.5,-0.000115261
4.6,-0.00135095
4.7,-0.002783833
4.8,3.35E-05
4.9,-0.000401427
5,-0.0005356
