Time (s) - Voltage,Voltage (V) - Voltage
0.041,0.927040649
0.041,0.67761714
0.041,0.303481878
0.041,-0.131736694
0.042,-0.538958748
0.042,-0.84437529
0.042,-0.989448147
0.042,-0.946180803
0.042,-0.722208673
0.042,-0.360799099
0.042,0.071874334
0.042,0.486731802
0.042,0.812509446
0.042,0.983033682
0.043,0.965217717
0.043,0.764151827
0.043,0.420558218
0.043,-0.004479801
0.043,-0.429517821
0.043,-0.77311143
0.043,-0.966541906
0.043,-0.976722457
0.043,-0.803653084
0.043,-0.475330302
0.044,-0.055382558
0.044,0.372200599
0.044,0.731065035
0.044,0.952492027
0.044,0.990669095
0.044,0.840505962
0.044,0.529999146
0.044,0.120231953
0.044,-0.31244148
0.044,-0.686576743
0.045,-0.930909976
0.045,-0.994538422
0.045,-0.872371806
0.045,-0.579680954
0.045,-0.180094313
0.045,0.252579121
0.045,0.641985211
0.045,0.906679546
0.045,0.998304509
0.045,0.901589271
0.046,0.631804659
0.046,0.244943707
0.046,-0.192820002
0.046,-0.587316367
0.046,-0.877462082
0.046,-0.994538422
0.046,-0.925819701
0.046,-0.67894133
0.046,-0.302260929
0.046,0.130412504
0.047,0.540179697
0.047,0.845596238
0.047,0.990669095
0.047,0.94994689
0.047,0.723429622
0.047,0.364565186
0.047,-0.068108248
0.047,-0.482965716
0.047,-0.80874336
0.047,-0.979267595
0.048,-0.966541906
0.048,-0.765476016
0.048,-0.41933727
0.048,0.00570075
0.048,0.43073877
0.048,0.771787241
0.048,0.970307992
0.048,0.980488544
0.048,0.804874033
0.048,0.479096389
0.049,0.059148645
0.049,-0.370979651
0.049,-0.729844087
0.049,-0.948725941
0.049,-0.989448147
0.049,-0.841830152
0.049,-0.528778197
0.049,-0.121556142
0.049,0.316207567
0.049,0.687797692
0.05,0.929585787
0.05,0.995759371
0.05,0.873592754
0.05,0.58344704
0.05,0.183860399
0.05,-0.251358172
0.05,-0.638219124
0.05,-0.90291346
0.05,-0.99708356
0.05,-0.900368322
0.051,-0.630583711
0.051,-0.243722759
0.051,0.191495812
0.051,0.588537316
0.051,0.87868303
0.051,0.998304509
0.051,0.927040649
0.051,0.680162278
0.051,0.306027015
0.051,-0.129191556
0.052,-0.536413611
0.052,-0.84437529
0.052,-0.991993284
0.052,-0.946180803
0.052,-0.722208673
0.052,-0.363344237
0.052,0.066784058
0.052,0.486731802
0.052,0.812509446
0.052,0.980488544
0.053,0.967762854
0.053,0.769242103
0.053,0.423103356
0.053,-0.004479801
0.053,-0.426972683
0.053,-0.770566292
0.053,-0.966541906
0.053,-0.979267595
0.053,-0.806198222
0.053,-0.475330302
0.054,-0.057927696
0.054,0.372200599
0.054,0.731065035
0.054,0.952492027
0.054,0.990669095
0.054,0.840505962
0.054,0.532544283
0.054,0.122777091
0.054,-0.31244148
0.054,-0.686576743
0.055,-0.928364838
0.055,-0.994538422
0.055,-0.872371806
0.055,-0.579680954
0.055,-0.18263945
0.055,0.255124258
0.055,0.639440073
0.055,0.906679546
0.055,0.998304509
0.055,0.904134408
0.056,0.634349797
0.056,0.244943707
0.056,-0.190274864
0.056,-0.589861505
0.056,-0.877462082
0.056,-0.994538422
0.056,-0.925819701
0.056,-0.681486468
0.056,-0.304806067
0.056,0.130412504
0.057,0.537634559
0.057,0.845596238
0.057,0.990669095
0.057,0.94994689
0.057,0.725974759
0.057,0.364565186
0.057,-0.06556311
0.057,-0.480420578
0.057,-0.80874336
0.057,-0.979267595
0.058,-0.966541906
0.058,-0.768021154
0.058,-0.421882408
0.058,0.003155612
0.058,0.428193632
0.058,0.771787241
0.058,0.970307992
0.058,0.980488544
0.058,0.80741917
0.058,0.479096389
0.059,0.059148645
0.059,-0.368434513
0.059,-0.729844087
0.059,-0.948725941
0.059,-0.989448147
0.059,-0.841830152
0.059,-0.531323335
0.059,-0.12410128
0.059,0.313662429
0.059,0.687797692
0.06,0.929585787
0.06,0.998304509
0.06,0.873592754
0.06,0.585992178
0.06,0.183860399
0.06,-0.248813034
0.06,-0.638219124
0.06,-0.90291346
0.06,-0.99708356
0.06,-0.90291346
0.061,-0.630583711
0.061,-0.246267897
0.061,0.191495812
0.061,0.588537316
0.061,0.876137892
0.061,0.998304509
0.061,0.927040649
0.061,0.682707416
0.061,0.308572153
0.061,-0.126646418
0.062,-0.536413611
0.062,-0.84437529
0.062,-0.989448147
0.062,-0.948725941
0.062,-0.727298949
0.062,-0.363344237
0.062,0.06423892
0.062,0.484186664
0.062,0.809964308
0.062,0.980488544
0.063,0.965217717
0.063,0.766696965
0.063,0.425648494
0.063,0.000610474
0.063,-0.424427546
0.063,-0.770566292
0.063,-0.966541906
0.063,-0.979267595
0.063,-0.806198222
0.064,-0.47787544
0.064,-0.060472834
0.064,0.369655461
0.064,0.731065035
0.064,0.94994689
0.064,0.990669095
0.064,0.840505962
0.064,0.532544283
0.064,0.125322229
0.064,-0.309896343
0.064,-0.684031605
0.065,-0.928364838
0.065,-0.994538422
0.065,-0.874916944
0.065,-0.58477123
0.065,-0.185184588
0.065,0.250033983
0.065,0.636894935
0.065,0.904134408
0.065,0.998304509
0.065,0.904134408
0.066,0.634349797
0.066,0.247488845
0.066,-0.187729726
0.066,-0.587316367
0.066,-0.874916944
0.066,-0.994538422
0.066,-0.925819701
0.066,-0.681486468
0.066,-0.307351205
0.066,0.127867366
0.067,0.537634559
0.067,0.8430511
0.067,0.990669095
0.067,0.94994689
0.067,0.725974759
0.067,0.367110324
0.067,-0.063017972
0.067,-0.480420578
0.067,-0.806198222
0.067,-0.979267595
0.068,-0.966541906
0.068,-0.768021154
0.068,-0.421882408
0.068,0.000610474
0.068,0.425648494
0.068,0.771787241
0.068,0.967762854
0.068,0.980488544
0.068,0.80741917
0.068,0.479096389
0.069,0.06423892
0.069,-0.368434513
0.069,-0.727298949
0.069,-0.948725941
0.069,-0.989448147
0.069,-0.841830152
0.069,-0.536413611
0.069,-0.12410128
0.069,0.308572153
0.069,0.685252554
0.07,0.929585787
0.07,0.995759371
0.07,0.876137892
0.07,0.585992178
0.07,0.188950675
0.07,-0.248813034
0.07,-0.635673986
0.07,-0.90291346
0.07,-0.99708356
0.07,-0.90291346
0.071,-0.633128849
0.071,-0.246267897
0.071,0.186405537
0.071,0.588537316
0.071,0.876137892
0.071,0.995759371
0.071,0.929585787
0.071,0.685252554
0.071,0.308572153
0.071,-0.12410128
0.072,-0.533868473
0.072,-0.841830152
0.072,-0.989448147
0.072,-0.948725941
0.072,-0.727298949
0.072,-0.365889375
0.072,0.06423892
0.072,0.481641526
0.072,0.809964308
0.072,0.980488544
0.073,0.967762854
0.073,0.771787241
0.073,0.425648494
0.073,0.000610474
0.073,-0.424427546
0.073,-0.770566292
0.073,-0.966541906
0.073,-0.979267595
0.073,-0.80874336
0.073,-0.482965716
0.074,-0.063017972
0.074,0.367110324
0.074,0.728519897
0.074,0.94994689
0.074,0.990669095
0.074,0.8430511
0.074,0.535089421
0.074,0.125322229
0.074,-0.307351205
0.074,-0.681486468
0.075,-0.925819701
0.075,-0.994538422
0.075,-0.874916944
0.075,-0.587316367
0.075,-0.187729726
0.075,0.247488845
0.075,0.636894935
0.075,0.904134408
0.075,0.998304509
0.075,0.904134408
0.076,0.636894935
0.076,0.250033983
0.076,-0.185184588
0.076,-0.58477123
0.076,-0.874916944
0.076,-0.994538422
0.076,-0.928364838
0.076,-0.681486468
0.076,-0.309896343
0.076,0.125322229
0.077,0.535089421
0.077,0.840505962
0.077,0.990669095
0.077,0.94994689
0.077,0.728519897
0.077,0.367110324
0.077,-0.060472834
0.077,-0.47787544
0.077,-0.806198222
0.077,-0.979267595
0.078,-0.966541906
0.078,-0.768021154
0.078,-0.424427546
0.078,0.000610474
0.078,0.423103356
0.078,0.769242103
0.078,0.967762854
0.078,0.980488544
0.078,0.809964308
0.078,0.481641526
0.079,0.066784058
0.079,-0.363344237
0.079,-0.727298949
0.079,-0.946180803
0.079,-0.989448147
0.079,-0.84437529
0.079,-0.536413611
0.079,-0.126646418
0.079,0.308572153
0.079,0.685252554
0.08,0.929585787
0.08,0.995759371
0.08,0.876137892
0.08,0.588537316
0.08,0.191495812
0.08,-0.246267897
0.08,-0.633128849
0.08,-0.900368322
0.08,-0.99708356
0.08,-0.90291346
0.081,-0.635673986
0.081,-0.248813034
0.081,0.186405537
0.081,0.58344704
0.081,0.876137892
0.081,0.995759371
0.081,0.929585787
0.081,0.685252554
0.081,0.311117291
0.081,-0.12410128
0.082,-0.531323335
0.082,-0.841830152
0.082,-0.989448147
0.082,-0.951271079
0.082,-0.729844087
0.082,-0.368434513
0.082,0.061693782
0.082,0.481641526
0.082,0.80741917
0.082,0.980488544
0.083,0.970307992
0.083,0.771787241
0.083,0.428193632
0.083,0.003155612
0.083,-0.421882408
0.083,-0.768021154
0.083,-0.966541906
0.083,-0.979267595
0.083,-0.80874336
0.083,-0.482965716
0.084,-0.06556311
0.084,0.367110324
0.084,0.728519897
0.084,0.947401752
0.084,0.990669095
0.084,0.845596238
0.084,0.537634559
0.084,0.127867366
0.084,-0.307351205
0.084,-0.681486468
0.085,-0.925819701
0.085,-0.994538422
0.085,-0.874916944
0.085,-0.587316367
0.085,-0.190274864
0.085,0.247488845
0.085,0.634349797
0.085,0.904134408
0.085,0.998304509
0.085,0.904134408
0.086,0.639440073
0.086,0.250033983
0.086,-0.18263945
0.086,-0.58477123
0.086,-0.872371806
0.086,-0.994538422
0.086,-0.930909976
0.086,-0.686576743
0.086,-0.309896343
0.086,0.125322229
0.087,0.532544283
0.087,0.8430511
0.087,0.990669095
0.087,0.952492027
0.087,0.731065035
0.087,0.372200599
0.087,-0.057927696
0.087,-0.47787544
0.087,-0.803653084
0.087,-0.979267595
0.088,-0.966541906
0.088,-0.770566292
0.088,-0.426972683
0.088,-0.001934664
0.088,0.423103356
0.088,0.769242103
0.088,0.967762854
0.088,0.980488544
0.088,0.809964308
0.088,0.484186664
0.089,0.066784058
0.089,-0.363344237
0.089,-0.727298949
0.089,-0.948725941
0.089,-0.989448147
0.089,-0.84437529
0.089,-0.536413611
0.089,-0.129191556
0.089,0.306027015
0.089,0.680162278
0.09,0.927040649
0.09,0.995759371
0.09,0.87868303
0.09,0.591082454
0.09,0.191495812
0.09,-0.243722759
0.09,-0.633128849
0.09,-0.900368322
0.09,-0.99708356
0.09,-0.90291346
0.091,-0.638219124
0.091,-0.251358172
0.091,0.183860399
0.091,0.58344704
0.091,0.873592754
0.091,0.995759371
0.091,0.929585787
0.091,0.685252554
0.091,0.313662429
0.091,-0.119011004
0.092,-0.531323335
0.092,-0.841830152
0.092,-0.989448147
0.092,-0.951271079
0.092,-0.729844087
0.092,-0.370979651
0.092,0.059148645
0.092,0.476551251
0.092,0.80741917
0.092,0.980488544
0.093,0.970307992
0.093,0.771787241
0.093,0.428193632
0.093,0.00570075
0.093,-0.421882408
0.093,-0.765476016
0.093,-0.966541906
0.093,-0.979267595
0.093,-0.80874336
0.093,-0.485510854
0.094,-0.06556311
0.094,0.364565186
0.094,0.725974759
0.094,0.947401752
0.094,0.990669095
0.094,0.845596238
0.094,0.540179697
0.094,0.130412504
0.094,-0.304806067
0.094,-0.67894133
0.095,-0.925819701
0.095,-0.994538422
0.095,-0.874916944
0.095,-0.589861505
0.095,-0.190274864
0.095,0.244943707
0.095,0.634349797
0.095,0.901589271
0.095,0.998304509
0.095,0.906679546
0.096,0.639440073
0.096,0.255124258
0.096,-0.18263945
0.096,-0.582226092
0.096,-0.872371806
0.096,-0.994538422
0.096,-0.928364838
0.096,-0.689121881
0.096,-0.31244148
0.096,0.120231953
0.097,0.532544283
0.097,0.840505962
0.097,0.988123957
0.097,0.952492027
0.097,0.733610173
0.097,0.372200599
0.097,-0.057927696
0.097,-0.47787544
0.097,-0.803653084
0.097,-0.979267595
0.098,-0.966541906
0.098,-0.770566292
0.098,-0.429517821
0.098,-0.001934664
0.098,0.420558218
0.098,0.766696965
0.098,0.967762854
0.098,0.980488544
0.098,0.812509446
0.098,0.486731802
0.099,0.069329196
0.099,-0.360799099
0.099,-0.722208673
0.099,-0.946180803
0.099,-0.989448147
0.099,-0.841830152
0.099,-0.538958748
0.099,-0.131736694
0.099,0.303481878
0.099,0.680162278
0.1,0.927040649
0.1,0.998304509
0.1,0.87868303
0.1,0.591082454
0.1,0.191495812
0.1,-0.243722759
0.1,-0.630583711
0.1,-0.900368322
0.1,-0.99708356
0.1,-0.90291346
0.101,-0.640764262
0.101,-0.25390331
0.101,0.181315261
0.101,0.580901902
0.101,0.873592754
0.101,0.998304509
0.101,0.929585787
0.101,0.687797692
0.101,0.316207567
0.101,-0.119011004
0.102,-0.528778197
0.102,-0.836739876
0.102,-0.986903009
0.102,-0.951271079
0.102,-0.732389224
0.102,-0.368434513
0.102,0.056603507
0.102,0.476551251
0.102,0.804874033
0.102,0.980488544
0.103,0.970307992
0.103,0.771787241
0.103,0.43073877
0.103,0.00570075
0.103,-0.41933727
0.103,-0.765476016
0.103,-0.963996768
0.103,-0.979267595
0.103,-0.811288498
0.103,-0.485510854
0.104,-0.070653385
0.104,0.362020048
0.104,0.723429622
0.104,0.947401752
0.104,0.990669095
0.104,0.848141376
0.104,0.540179697
0.104,0.132957642
0.104,-0.304806067
0.104,-0.67894133
0.105,-0.925819701
0.105,-0.994538422
0.105,-0.877462082
0.105,-0.592406643
0.105,-0.192820002
0.105,0.244943707
0.105,0.631804659
0.105,0.901589271
0.105,0.998304509
0.105,0.909224684
0.106,0.641985211
0.106,0.255124258
0.106,-0.180094313
0.106,-0.579680954
0.106,-0.872371806
0.106,-0.994538422
0.106,-0.928364838
0.106,-0.689121881
0.106,-0.31244148
0.106,0.117686815
0.107,0.529999146
0.107,0.837960824
0.107,0.988123957
0.107,0.952492027
0.107,0.733610173
0.107,0.374745737
0.107,-0.055382558
0.107,-0.472785165
0.107,-0.803653084
0.107,-0.976722457
0.108,-0.969087044
0.108,-0.775656568
0.108,-0.429517821
0.108,-0.007024939
0.108,0.420558218
0.108,0.764151827
0.108,0.965217717
0.108,0.980488544
0.108,0.812509446
0.108,0.48927694
0.109,0.071874334
0.109,-0.360799099
0.109,-0.722208673
0.109,-0.946180803
0.109,-0.989448147
0.109,-0.846920427
0.109,-0.538958748
0.109,-0.131736694
0.109,0.306027015
0.109,0.67761714
0.11,0.927040649
0.11,0.998304509
0.11,0.87868303
0.11,0.593627592
0.11,0.19404095
0.11,-0.238632483
0.11,-0.628038573
0.11,-0.900368322
0.11,-0.99708356
0.11,-0.905458598
0.111,-0.640764262
0.111,-0.256448448
0.111,0.181315261
0.111,0.580901902
0.111,0.871047616
0.111,0.995759371
0.111,0.932130925
0.111,0.687797692
0.111,0.318752705
0.111,-0.116465867
0.112,-0.526233059
0.112,-0.836739876
0.112,-0.989448147
0.112,-0.951271079
0.112,-0.732389224
0.112,-0.373524789
0.112,0.054058369
0.112,0.474006113
0.112,0.804874033
0.112,0.980488544
0.113,0.970307992
0.113,0.776877516
0.113,0.43073877
0.113,0.010791026
0.113,-0.416792132
0.113,-0.762930879
0.113,-0.963996768
0.113,-0.979267595
0.113,-0.811288498
0.113,-0.488055992
0.114,-0.070653385
0.114,0.35947491
0.114,0.723429622
0.114,0.947401752
0.114,0.990669095
0.114,0.848141376
0.114,0.540179697
0.114,0.13550278
0.114,-0.299715791
0.114,-0.676396192
0.115,-0.923274563
0.115,-0.994538422
0.115,-0.877462082
0.115,-0.592406643
0.115,-0.19536514
0.115,0.242398569
0.115,0.629259521
0.115,0.899044133
0.115,0.998304509
0.115,0.906679546
0.116,0.641985211
0.116,0.257669396
0.116,-0.177549175
0.116,-0.579680954
0.116,-0.869826668
0.116,-0.994538422
0.116,-0.930909976
0.116,-0.689121881
0.116,-0.314986618
0.116,0.115141677
0.117,0.527454008
0.117,0.837960824
0.117,0.988123957
0.117,0.952492027
0.117,0.733610173
0.117,0.374745737
0.117,-0.05283742
0.117,-0.470240027
0.117,-0.801107946
0.117,-0.976722457
