Time - Voltage,Amplitude - Voltage
0,1.85744
0.1,1.85133
0.2,1.85133
0.3,1.85133
0.4,1.85336
0.5,1.84318
0.6,1.84318
0.7,1.84929
0.8,1.84929
0.9,1.84114
1,1.83911
1.1,1.84725
1.2,1.84522
1.3,1.83911
1.4,1.84114
1.5,1.84318
1.6,1.833
1.7,1.83911
1.8,1.84114
1.9,1.83911
2,1.833
2.1,1.83911
2.2,1.83503
2.3,1.82892
2.4,1.83096
2.5,1.83503
2.6,1.83096
2.7,1.82892
2.8,1.82892
2.9,1.83096
3,1.82892
3.1,1.82485
3.2,1.82689
3.3,1.82892
3.4,1.82281
3.5,1.82689
3.6,1.82892
3.7,1.82485
3.8,1.81874
3.9,1.82689
4,1.82281
4.1,1.81874
4.2,1.81874
4.3,1.82078
4.4,1.81467
4.5,1.81874
4.6,1.81874
4.7,1.81263
4.8,1.81059
4.9,1.8167
5,1.81467
5.1,1.80856
5.2,1.80856
5.3,1.81059
5.4,1.81059
5.5,1.80448
5.6,1.80041
5.7,1.80856
5.8,1.80856
5.9,1.79837
6,1.80245
6.1,1.80448
6.2,1.79837
6.3,1.80245
6.4,1.80245
6.5,1.80041
6.6,1.7943
6.7,1.80245
6.8,1.79837
6.9,1.79023
7,1.79634
7.1,1.80041
7.2,1.7943
7.3,1.79023
7.4,1.7943
7.5,1.7943
7.6,1.78819
7.7,1.79023
7.8,1.79023
7.9,1.79023
8,1.79023
8.1,1.78615
8.2,1.78819
8.3,1.78615
8.4,1.78208
8.5,1.78615
8.6,1.78412
8.7,1.77597
8.8,1.78208
8.9,1.78615
9,1.78004
9.1,1.77801
9.2,1.77597
9.3,1.78004
9.4,1.77801
9.5,1.77597
9.6,1.78004
9.7,1.77393
9.8,1.76986
9.9,1.77597
10,1.78004
10.1,1.76579
10.2,1.76986
10.3,1.78004
10.4,1.76579
10.5,1.76782
10.6,1.77597
10.7,1.76986
10.8,1.76782
10.9,1.76579
11,1.76986
11.1,1.76579
11.2,1.76171
11.3,1.76375
11.4,1.76782
11.5,1.76171
11.6,1.76171
11.7,1.76579
11.8,1.76171
11.9,1.75357
12,1.75968
12.1,1.76171
12.2,1.75153
12.3,1.75153
12.4,1.75764
12.5,1.75764
12.6,1.75153
12.7,1.7556
12.8,1.7556
12.9,1.74949
13,1.75357
13.1,1.75357
13.2,1.75153
13.3,1.74542
13.4,1.74949
13.5,1.75357
13.6,1.74338
13.7,1.74542
13.8,1.74949
13.9,1.74542
14,1.74135
14.1,1.74135
14.2,1.74542
14.3,1.74542
14.4,1.7332
14.5,1.74338
14.6,1.74135
14.7,1.7332
14.8,1.73117
14.9,1.74542
15,1.73117
15.1,1.73117
15.2,1.73524
15.3,1.72506
15.4,1.72709
15.5,1.7332
15.6,1.73117
15.7,1.72913
15.8,1.72506
15.9,1.72913
16,1.72913
16.1,1.72709
16.2,1.72098
16.3,1.72913
16.4,1.72506
16.5,1.71691
16.6,1.72302
16.7,1.72302
16.8,1.71895
16.9,1.71895
17,1.72098
17.1,1.72098
17.2,1.71284
17.3,1.71895
17.4,1.71895
17.5,1.71487
17.6,1.71284
17.7,1.71487
17.8,1.7108
17.9,1.70673
18,1.7108
18.1,1.7108
18.2,1.70673
18.3,1.70469
18.4,1.70876
18.5,1.70876
18.6,1.70469
18.7,1.70265
18.8,1.70673
18.9,1.70876
19,1.69858
19.1,1.70469
19.2,1.70265
19.3,1.69654
19.4,1.69654
19.5,1.70265
19.6,1.69654
19.7,1.69247
19.8,1.69654
19.9,1.69858
20,1.69451
20.1,1.69451
20.2,1.69451
20.3,1.69451
20.4,1.6884
20.5,1.69247
20.6,1.69451
20.7,1.6884
20.8,1.6884
20.9,1.69451
21,1.69247
21.1,1.68636
21.2,1.68229
21.3,1.6884
21.4,1.68432
21.5,1.68025
21.6,1.68229
21.7,1.6884
21.8,1.67821
21.9,1.67821
22,1.68229
22.1,1.68229
22.2,1.67414
22.3,1.67618
22.4,1.68025
22.5,1.67618
22.6,1.6721
22.7,1.67821
22.8,1.67618
22.9,1.67007
23,1.6721
23.1,1.67618
23.2,1.67007
23.3,1.67007
23.4,1.6721
23.5,1.67007
23.6,1.66599
23.7,1.66599
23.8,1.67007
23.9,1.66803
24,1.65988
24.1,1.67007
24.2,1.66599
24.3,1.65581
24.4,1.65988
24.5,1.66599
24.6,1.66396
24.7,1.65377
24.8,1.65988
24.9,1.65988
25,1.65377
25.1,1.65581
25.2,1.65988
25.3,1.6497
25.4,1.64766
25.5,1.6497
25.6,1.65581
25.7,1.65174
25.8,1.64766
25.9,1.64766
26,1.6497
26.1,1.64766
26.2,1.6497
26.3,1.65174
26.4,1.64359
26.5,1.64155
26.6,1.64766
26.7,1.64563
26.8,1.63952
26.9,1.63748
27,1.64563
27.1,1.64359
27.2,1.63544
27.3,1.63748
27.4,1.63748
27.5,1.63544
27.6,1.63341
27.7,1.63544
27.8,1.63748
27.9,1.63137
