Time - Temperature,Temperature - Temperature
0,76.7811
1,76.7413
2,76.6841
3,76.6486
4,76.6057
5,76.5688
6,76.5391
7,76.494
8,76.4578
9,76.4095
10,76.3719
11,76.3243
12,76.2913
13,76.2523
14,76.2022
15,76.1646
16,76.1313
17,76.0916
18,76.0368
19,75.9888
20,75.9516
21,75.909
22,75.8689
23,75.8084
24,75.769
25,75.7379
26,75.7092
27,75.6612
28,75.6247
29,75.6018
30,75.5642
31,75.5259
32,75.4948
33,75.4464
34,75.4089
35,75.3709
36,75.3351
37,75.2918
38,75.2492
39,75.1919
40,75.1572
41,75.1013
42,75.0566
43,75.0204
44,74.9753
45,74.9338
46,74.8808
47,74.8489
48,74.7917
49,74.7487
50,74.7158
51,74.6707
52,74.6356
53,74.574
54,74.5353
55,74.497
56,74.4598
57,74.4151
58,74.3789
59,74.3452
60,74.3051
61,74.2715
62,74.2307
63,74.2117
64,74.172
65,74.1265
66,74.095
67,74.0578
68,74.018
69,73.9786
70,73.931
71,73.8891
72,73.8505
73,73.7979
74,73.7556
75,73.7284
76,73.6901
77,73.6743
78,73.6375
79,73.5959
80,73.5616
81,73.5422
82,73.5086
83,73.4735
84,73.4209
85,73.3854
86,73.3453
87,73.316
88,73.2791
89,73.2526
90,73.2111
91,73.1792
92,73.1244
93,73.0779
94,73.0278
95,72.9887
96,72.9347
97,72.8978
98,72.848
99,72.8054
100,72.7732
101,72.7353
102,72.6937
103,72.6533
104,72.6185
105,72.5906
106,72.5498
107,72.5144
108,72.4739
109,72.4452
110,72.403
111,72.3729
112,72.3386
113,72.2995
114,72.2558
115,72.2225
116,72.171
117,72.1373
118,72.0865
119,72.0382
120,71.9973
121,71.9691
122,71.9304
123,71.8939
124,71.8577
125,71.824
126,71.7882
127,71.7499
128,71.7148
129,71.6765
130,71.6364
131,71.5881
132,71.5483
133,71.5072
134,71.4893
135,71.4459
136,71.4069
137,71.3675
138,71.3274
139,71.2937
140,71.2526
141,71.2153
142,71.1774
143,71.1362
144,71.0947
145,71.0596
146,71.0184
147,70.9754
148,70.9457
149,70.9113
150,70.8737
151,70.8472
152,70.8111
153,70.7674
154,70.7273
155,70.7036
156,70.6639
157,70.6148
158,70.579
159,70.531
160,70.5002
161,70.454
162,70.4175
163,70.3881
164,70.3427
165,70.3025
166,70.2596
167,70.2202
168,70.1754
169,70.1217
170,70.0848
171,70.0279
172,69.991
173,69.9645
174,69.9183
175,69.8757
176,69.8356
177,69.8058
178,69.7682
179,69.7317
180,69.6869
181,69.654
182,69.6142
183,69.5755
184,69.5347
185,69.4924
186,69.4434
187,69.4147
188,69.3771
189,69.3349
190,69.3015
191,69.2539
192,69.2199
193,69.1798
194,69.14
195,69.0967
196,69.0694
197,69.0372
198,69.0025
199,68.9652
200,68.9409
201,68.9061
202,68.8653
203,68.827
204,68.7926
205,68.7578
206,68.7188
